"No","Font Pairing Name","Category","Heading Font","Body Font","Mood/Style Keywords","Best For","System Font Stack","Notes"
"11","Geometric Modern","Sans + Sans","Segoe UI","Arial","geometric, modern, clean, balanced, contemporary, versatile","General purpose, portfolios, agencies, modern brands, landing pages","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"12","Luxury Serif","Serif + Sans","Georgia","Arial","luxury, high-end, fashion, elegant, refined, premium","Fashion brands, luxury e-commerce, jewelry, high-end services","Georgia, Arial, sans-serif","System serif heading with a system sans-serif body for contrast and readability."
"13","Friendly SaaS","Sans + Sans","Segoe UI","Arial","friendly, modern, saas, clean, approachable, professional","SaaS products, web apps, dashboards, B2B, productivity tools","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"14","News Editorial","Serif + Sans","Georgia","Arial","news, editorial, journalism, trustworthy, readable, informative","News sites, blogs, magazines, journalism, content-heavy sites","Georgia, Arial, sans-serif","System serif heading with a system sans-serif body for contrast and readability."
"15","Handwritten Charm","Script + Sans","Segoe Print","Segoe UI","handwritten, personal, friendly, casual, warm, charming","Personal blogs, invitations, creative portfolios, lifestyle brands","""Segoe Print"", ""Segoe UI"", cursive","System handwriting accent with a readable system sans-serif body."
"16","Corporate Trust","Sans + Sans","Segoe UI","Arial","corporate, trustworthy, accessible, readable, professional, clean","Enterprise, government, healthcare, finance, accessibility-focused","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"17","Brutalist Raw","Mono + Mono","Consolas","Courier New","brutalist, raw, technical, monospace, minimal, stark","Brutalist designs, developer portfolios, experimental, tech art","Consolas, ""Courier New"", monospace","System monospace stack for technical clarity and code-oriented interfaces."
"18","Fashion Forward","Sans + Sans","Segoe UI","Arial","fashion, avant-garde, creative, bold, artistic, edgy","Fashion brands, creative agencies, art galleries, design studios","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"19","Soft Rounded","Sans + Sans","Segoe UI","Arial","soft, rounded, friendly, approachable, warm, gentle","Children's products, pet apps, friendly brands, wellness, soft UI","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"20","Premium Sans","Sans + Sans","Segoe UI","Arial","premium, modern, clean, sophisticated, versatile, balanced","Premium brands, modern agencies, SaaS, portfolios, startups","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"21","Vietnamese Friendly","Sans + Sans","Segoe UI","Arial","vietnamese, international, readable, clean, multilingual, accessible","Vietnamese sites, multilingual apps, international products","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"22","Japanese Elegant","Serif + Sans","Georgia","Arial","japanese, elegant, traditional, modern, multilingual, readable","Japanese sites, Japanese restaurants, cultural sites, anime/manga","Georgia, Arial, sans-serif","System serif heading with a system sans-serif body for contrast and readability."
"23","Korean Modern","Sans + Sans","Segoe UI","Arial","korean, modern, clean, professional, multilingual, readable","Korean sites, K-beauty, K-pop, Korean businesses, multilingual","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"24","Chinese Traditional","Serif + Sans","Microsoft YaHei","PingFang SC","chinese, traditional, elegant, cultural, multilingual, readable","Traditional Chinese sites, cultural content, Taiwan/Hong Kong markets","""Microsoft YaHei"", ""PingFang SC"", ""Noto Sans CJK SC"", sans-serif","System serif heading with a system sans-serif body for contrast and readability."
"25","Chinese Simplified","Sans + Sans","Microsoft YaHei","PingFang SC","chinese, simplified, modern, professional, multilingual, readable","Simplified Chinese sites, mainland China market, business apps","""Microsoft YaHei"", ""PingFang SC"", ""Noto Sans CJK SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"26","Arabic Elegant","Serif + Sans","Georgia","Arial","arabic, elegant, traditional, cultural, RTL, readable","Arabic sites, Middle East market, Islamic content, bilingual sites","Georgia, Arial, sans-serif","System serif heading with a system sans-serif body for contrast and readability."
"27","Thai Modern","Sans + Sans","Segoe UI","Arial","thai, modern, readable, clean, multilingual, accessible","Thai sites, Southeast Asia, tourism, Thai restaurants","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"28","Hebrew Modern","Sans + Sans","Segoe UI","Arial","hebrew, modern, RTL, clean, professional, readable","Hebrew sites, Israeli market, Jewish content, bilingual sites","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"29","Legal Professional","Serif + Sans","Georgia","Arial","legal, professional, traditional, trustworthy, formal, authoritative","Law firms, legal services, contracts, formal documents, government","Georgia, Arial, sans-serif","System serif heading with a system sans-serif body for contrast and readability."
"30","Medical Clean","Sans + Sans","Segoe UI","Arial","medical, clean, accessible, professional, healthcare, trustworthy","Healthcare, medical clinics, pharma, health apps, accessibility","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"31","Financial Trust","Sans + Sans","Segoe UI","Arial","financial, trustworthy, professional, corporate, banking, serious","Banks, finance, insurance, investment, fintech, enterprise","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"32","Real Estate Luxury","Serif + Sans","Georgia","Arial","real estate, luxury, elegant, sophisticated, property, premium","Real estate, luxury properties, architecture, interior design","Georgia, Arial, sans-serif","System serif heading with a system sans-serif body for contrast and readability."
"33","Restaurant Menu","Serif + Sans","Georgia","Arial","restaurant, menu, culinary, elegant, foodie, hospitality","Restaurants, cafes, food blogs, culinary, hospitality","Georgia, Arial, sans-serif","System serif heading with a system sans-serif body for contrast and readability."
"34","Art Deco","Display + Sans","Segoe UI","Arial","art deco, vintage, 1920s, elegant, decorative, gatsby","Vintage events, art deco themes, luxury hotels, classic cocktails","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"35","Magazine Style","Serif + Sans","Georgia","Arial","magazine, editorial, publishing, refined, journalism, print","Magazines, online publications, editorial content, journalism","Georgia, Arial, sans-serif","System serif heading with a system sans-serif body for contrast and readability."
"36","Crypto/Web3","Sans + Sans","Segoe UI","Arial","crypto, web3, futuristic, tech, blockchain, digital","Crypto platforms, NFT, blockchain, web3, futuristic tech","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"37","Gaming Bold","Display + Sans","Segoe UI","Arial","gaming, bold, action, esports, competitive, energetic","Gaming, esports, action games, competitive sports, entertainment","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"38","Indie/Craft","Display + Sans","Segoe UI","Arial","indie, craft, handmade, artisan, organic, creative","Craft brands, indie products, artisan, handmade, organic products","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"39","Startup Bold","Sans + Sans","Segoe UI","Arial","startup, bold, modern, innovative, confident, dynamic","Startups, pitch decks, product launches, bold brands","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"40","E-commerce Clean","Sans + Sans","Segoe UI","Arial","ecommerce, clean, shopping, product, retail, conversion","E-commerce, online stores, product pages, retail, shopping","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"41","Academic/Research","Serif + Sans","Georgia","Arial","academic, research, scholarly, accessible, readable, educational","Universities, research papers, academic journals, educational","Georgia, Arial, sans-serif","System serif heading with a system sans-serif body for contrast and readability."
"42","Dashboard Data","Mono + Sans","Consolas","Courier New","dashboard, data, analytics, code, technical, precise","Dashboards, analytics, data visualization, admin panels","Consolas, ""Courier New"", monospace","System monospace stack for technical clarity and code-oriented interfaces."
"43","Music/Entertainment","Display + Sans","Segoe UI","Arial","music, entertainment, fun, energetic, bold, performance","Music platforms, entertainment, events, festivals, performers","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"44","Minimalist Portfolio","Sans + Sans","Segoe UI","Arial","minimal, portfolio, designer, creative, clean, artistic","Design portfolios, creative professionals, minimalist brands","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"45","Kids/Education","Display + Sans","Segoe UI","Arial","kids, education, playful, friendly, colorful, learning","Children's apps, educational games, kid-friendly content","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"46","Wedding/Romance","Script + Serif","Georgia","Times New Roman","wedding, romance, elegant, script, invitation, feminine","Wedding sites, invitations, romantic brands, bridal","Georgia, ""Times New Roman"", serif","System handwriting accent with a readable system sans-serif body."
"47","Science/Tech","Sans + Sans","Segoe UI","Arial","science, technology, research, data, futuristic, precise","Science, research, tech documentation, data-heavy sites","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"48","Accessibility First","Sans + Sans","Segoe UI","Arial","accessible, readable, inclusive, WCAG, dyslexia-friendly, clear","Accessibility-critical sites, government, healthcare, inclusive design","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"49","Sports/Fitness","Sans + Sans","Segoe UI","Arial","sports, fitness, athletic, energetic, condensed, action","Sports, fitness, gyms, athletic brands, competition","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"50","Luxury Minimalist","Serif + Sans","Georgia","Arial","luxury, minimalist, high-end, sophisticated, refined, premium","Luxury minimalist brands, high-end fashion, premium products","Georgia, Arial, sans-serif","System serif heading with a system sans-serif body for contrast and readability."
"51","Tech/HUD Mono","Mono + Mono","Consolas","Courier New","tech, futuristic, hud, sci-fi, data, monospaced, precise","Sci-fi interfaces, developer tools, cybersecurity, dashboards","Consolas, ""Courier New"", monospace","System monospace stack for technical clarity and code-oriented interfaces."
"52","Pixel Retro","Display + Sans","Segoe UI","Arial","pixel, retro, gaming, 8-bit, nostalgic, arcade","Pixel art games, retro websites, creative portfolios","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"53","Neubrutalist Bold","Display + Sans","Segoe UI","Arial","bold, neubrutalist, loud, strong, geometric, quirky","Neubrutalist designs, Gen Z brands, bold marketing","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"54","Academic/Archival","Serif + Serif","Georgia","Times New Roman","academic, old-school, university, research, serious, traditional","University sites, archives, research papers, history","Georgia, ""Times New Roman"", serif","System serif pairing for traditional editorial rhythm and long-form reading."
"55","Spatial Clear","Sans + Sans","Segoe UI","Arial","spatial, legible, glass, system, clean, neutral","Spatial computing, AR/VR, glassmorphism interfaces","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"56","Kinetic Motion","Display + Mono","Consolas","Courier New","kinetic, motion, futuristic, speed, wide, tech","Music festivals, automotive, high-energy brands","Consolas, ""Courier New"", monospace","System monospace stack for technical clarity and code-oriented interfaces."
"57","Gen Z Brutal","Display + Sans","Segoe UI","Arial","brutal, loud, shouty, meme, internet, bold","Gen Z marketing, streetwear, viral campaigns","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"58","Minimalist Monochrome Editorial","Serif + Serif + Mono (Triple Stack)","Consolas","Courier New","monochrome, editorial, austere, typographic, pocket manifesto, luxury, high contrast, brutalist mobile","Luxury fashion mobile apps, editorial publications, digital exhibitions, portfolio apps, high-contrast e-reader aesthetics","Consolas, ""Courier New"", monospace","System monospace stack for technical clarity and code-oriented interfaces."
"59","Modern Dark Cinema (Inter System)","Sans + Mono","Consolas","Courier New","dark, cinematic, technical, precision, clean, premium, developer, professional, high-end utility","Developer tools, fintech/trading, AI dashboards, streaming platforms, high-end productivity apps","Consolas, ""Courier New"", monospace","System monospace stack for technical clarity and code-oriented interfaces."
"60","SaaS Mobile Boutique (Calistoga + Inter)","Display Serif + Sans + Mono","Consolas","Courier New","saas, boutique, electric, warm, editorial, bold, premium, fintech, business, dual font, human warmth","B2B SaaS mobile, fintech apps, analytics dashboards, marketing tools, operations platforms","Consolas, ""Courier New"", monospace","System monospace stack for technical clarity and code-oriented interfaces."
"61","Terminal CLI Monospace","Mono + Mono (Single Family)","Consolas","Courier New","terminal, cli, hacker, monospace, matrix, developer, retro-future, command line, precision, OLED","Developer tools, Web3/blockchain apps, hacker aesthetic, sci-fi games, ARG, security tools, geek-culture portfolios","Consolas, ""Courier New"", monospace","System monospace stack for technical clarity and code-oriented interfaces."
"62","Kinetic Brutalism (Space Grotesk)","Geometric Sans (Single Dominant)","Segoe UI","Arial","kinetic, brutalist, aggressive, uppercase, oversized, display, motion, street, bold, high-energy, zine","Music/culture apps, sports platforms, brand flagship mobile, performance dashboards, underground product drops","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"63","Flat Design Mobile (System Bold)","Sans + Sans","Segoe UI","Arial","flat, clean, system, bold, geometric, cross-platform, icon, poster, minimal, functional, responsive","Cross-platform apps, dashboards, system UI, onboarding, marketing pages, informational apps, icon-heavy interfaces","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"64","Material You MD3 (Roboto System)","Sans (System Default)","Segoe UI","Arial","material design 3, md3, android, google, tonal, friendly, rounded, accessible, adaptive","Android apps, cross-platform tools, productivity software, data-heavy B2B dashboards, enterprise mobile","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"65","Neo Brutalism Mobile (Space Grotesk Heavy)","Geometric Sans (Bold-Only)","Segoe UI","Arial","neo brutalism, pop art, loud, bold, heavy, stickers, mechanical, high contrast, cream, gen-z","Creative tools, Gen-Z marketing, e-commerce for youth culture, content portfolios, collage-style apps","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"66","Bold Typography Mobile (Inter-Tight Poster)","Sans + Serif (Display) + Mono","Consolas","Courier New","bold typography, editorial, poster, near-black, vermillion, luxury, type-as-hero, manifesto, high-contrast","Creative brand flagships, reading platforms, event apps, flash pages, luxury mobile experiences","Consolas, ""Courier New"", monospace","System monospace stack for technical clarity and code-oriented interfaces."
"67","Academia Mobile (Cormorant + Crimson + Cinzel)","Serif + Book Serif + Engraved (Triple Stack)","Georgia","Times New Roman","academia, library, mahogany, parchment, brass, scholarly, prestige, antique, victorian, leather","Knowledge management apps, scholarly reading tools, personal brand portfolios, RPG games, cultural community platforms","Georgia, ""Times New Roman"", serif","System serif pairing for traditional editorial rhythm and long-form reading."
"68","Cyberpunk Mobile (Orbitron + JetBrains Mono)","Tech Display + Mono","Consolas","Courier New","cyberpunk, neon, glitch, hud, sci-fi, dark, matrix green, magenta, chamfered, tactical","Gaming companion apps, fintech/crypto, data visualization, dark brand apps, cyberpunk narrative games","Consolas, ""Courier New"", monospace","System monospace stack for technical clarity and code-oriented interfaces."
"69","Web3 Bitcoin DeFi (Space Grotesk + Inter + Mono)","Geometric Sans + Sans + Mono (Triple)","Consolas","Courier New","web3, bitcoin, defi, digital gold, fintech, crypto, trustless, luminescent, precision, dark","DeFi protocols and wallets, NFT platforms, metaverse social apps, high-tech brand landing pages","Consolas, ""Courier New"", monospace","System monospace stack for technical clarity and code-oriented interfaces."
"70","Claymorphism Mobile (Nunito + DM Sans)","Display Rounded + Geometric Sans","Segoe UI","Arial","claymorphism, clay, rounded, playful, candy, bubbly, soft, 3d, children, education, tactile, spring, nunito, dm sans","Children education apps, teen social, brand mascot apps, creative tools, fintech gamification","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"71","Enterprise SaaS Mobile (Plus Jakarta Sans)","Geometric Sans (Single Family)","Segoe UI","Arial","enterprise, saas, b2b, professional, indigo, modern, approachable, legible, ios dynamic type, android scaling","B2B SaaS apps, productivity tools, government and finance mobile apps, admin dashboards, enterprise onboarding","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
"72","Sketch Hand-Drawn Mobile (Kalam + Patrick Hand)","Handwritten + Handwritten (Dual)","Segoe Print","Segoe UI","sketch, hand-drawn, handwriting, human, imperfect, organic, paper, kalam, patrick hand, education, journal, creative","Journaling apps, prototype tools, children's picturebook apps, creative platforms, gamified puzzle apps","""Segoe Print"", ""Segoe UI"", cursive","System handwriting accent with a readable system sans-serif body."
"73","Neumorphism Mobile (Plus Jakarta Sans + System)","Geometric Sans (System Fallback)","Segoe UI","Arial","neumorphism, soft ui, monochromatic, cool grey, minimal, physical, depth, ceramic, system font, utility","Smart home controls, minimal tools, aesthetic dashboards, health monitors, brand showcase pages","""Segoe UI"", Arial, ""Microsoft YaHei"", ""PingFang SC"", sans-serif","System sans-serif pairing with weight and scale contrast for a clean, reliable interface."
